,abbrev_symbol,board_type,de_listed_date,exchange,industry_code,industry_name,listed_date,order_book_id,round_lot,sector_code,sector_code_name,special_type,status,symbol,type
1707,HTKJ,MainBoard,0000-00-00,XSHE,C37,铁路、船舶、航空航天和其他运输设备制造业,1999-04-01,000901.XSHE,100.0,Industrials,工业,Normal,Active,航天科技,CS
1708,SZGX,MainBoard,0000-00-00,XSHG,K70,房地产业,1996-08-15,600736.XSHG,100.0,Financials,金融,Normal,Active,苏州高新,CS
1709,ZGGL,MainBoard,0000-00-00,XSHG,L72,商务服务业,2009-10-15,601888.XSHG,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,中国国旅,CS
1710,ZYA,MainBoard,0000-00-00,XSHE,C15,酒、饮料和精制茶制造业,2000-10-26,000869.XSHE,100.0,ConsumerStaples,必需消费品,Normal,Active,张裕A,CS
1711,HXKJ,GEM,0000-00-00,XSHE,C37,铁路、船舶、航空航天和其他运输设备制造业,2015-04-22,300424.XSHE,100.0,Industrials,工业,Normal,Active,航新科技,CS
1712,GHKJ,SMEBoard,0000-00-00,XSHE,C26,化学原料及化学制品制造业,2015-02-16,002741.XSHE,100.0,Materials,原材料,Normal,Active,光华科技,CS
1713,LBDQ,SMEBoard,0000-00-00,XSHE,C38,电气机械和器材制造业,2010-11-23,002508.XSHE,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,老板电器,CS
1714,LXGF,GEM,0000-00-00,XSHE,C34,通用设备制造业,2015-02-17,300421.XSHE,100.0,Industrials,工业,Normal,Active,力星股份,CS
1715,ZYZQ,MainBoard,0000-00-00,XSHG,J67,资本市场服务,2017-01-03,601375.XSHG,100.0,Financials,金融,Normal,Active,中原证券,CS
1716,NBHX,SMEBoard,0000-00-00,XSHE,C36,汽车制造业,2005-06-03,002048.XSHE,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,宁波华翔,CS
1717,ZQGF,GEM,0000-00-00,XSHE,C35,专用设备制造业,2016-08-02,300526.XSHE,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,中潜股份,CS
1718,DLGF,MainBoard,0000-00-00,XSHE,C34,通用设备制造业,1993-12-08,000530.XSHE,100.0,Industrials,工业,Normal,Active,大冷股份,CS
1719,ZJYY,MainBoard,0000-00-00,XSHG,C27,医药制造业,1999-10-21,600216.XSHG,100.0,HealthCare,医疗保健,Normal,Active,浙江医药,CS
1720,LYGF,MainBoard,0000-00-00,XSHG,C36,汽车制造业,2003-08-15,600480.XSHG,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,凌云股份,CS
1721,FYYY,MainBoard,0000-00-00,XSHE,C27,医药制造业,2000-09-20,000153.XSHE,100.0,HealthCare,医疗保健,Normal,Active,丰原药业,CS
1722,SJHB,GEM,0000-00-00,XSHE,C26,化学原料及化学制品制造业,2010-04-27,300072.XSHE,100.0,Materials,原材料,Normal,Active,三聚环保,CS
1723,JMJT,MainBoard,0000-00-00,XSHG,F52,零售业,2004-04-19,600976.XSHG,100.0,ConsumerStaples,必需消费品,Normal,Active,健民集团,CS
1724,XLDY,MainBoard,0000-00-00,XSHG,E48,土木工程建筑业,1996-11-01,600769.XSHG,100.0,Industrials,工业,Normal,Active,祥龙电业,CS
